ID,NAME,DOMAIN,SERVICES,ABOUT,WHY WORK WITH US,BROCHURE,ADDRESS,STAFF,STAFF INVITES PENDING,CLIENTS,INDUSTRIES,PRIMARY SERVICE,COMPLETENESS PERCENT,CREATED ON,LAST UPDATED ON,LANGUAGES USED,HIDDEN (INACTIVE),LAST HIDDEN ON,LAST VISIBLE ON,ONLY VISIBLE TO WL
3719,MULTIHOG LTD,multihog.com,"Aerospace & Aviation,Airport,Agriculture & Equine","Multihog Ltd is a company based in Louth, Ireland manufacturing multipurpose sweepers &amp.; tractors for both the home and export markets. Our manufacturing operations and R&amp.D; department are located at our Global HQ in Dundalk, Ireland.Market Serve: UK, Nordics, Europe, Middle East, North America, Rest of World, Asia-Pacific",,https://d3bddsqeatnr0e.cloudfront.net/brochures/Brochure_VsmZtoC.pdf,,,,,,Agriculture & Equine,25,26/07/2024 12:39,,,no,-,26/07/2024 12:39,no
3331,CR PAYROLL SOLUTIONS LIMITED,crpayrollsolutions.com,,"At CR Payroll, we redefine payroll services, providing tailored solutions that go beyond the ordinary. As a trusted partner, we offer a suite of services designed to meet the diverse needs of modern businesses. On-Demand Payroll Cover: Experience freedom with our On-Demand Payroll Cover, giving your business the flexibility to scale resources in real-time. Whether navigating through peak periods, staff absences, or unexpected surges in workload, our dedicated team of payroll professionals ensures uninterrupted processing. Emergency Payroll Cover: In times of crisis, our Emergency Payroll Cover guarantees accurate and timely payments to your employees. Our senior payroll professionals, accessible at a moment's notice, bring extensive experience to handle complex challenges swiftly and accurately, maintaining business continuity. Payroll Project Support: Navigate payroll projects with ease. Our dedicated team provides expert support for system implementations and process improvements. Collaborate with us to achieve successful project execution, minimising disruptions and maximising efficiency. Benefit from the deep knowledge and experience of our senior payroll experts, allowing your internal resources to focus on core responsibilities while we manage the technical aspects. Vendor Evaluation and Selection: Selecting the right payroll vendor is pivotal. Our service streamlines this critical decision-making process, saving you time and resources. We assess potential risks associated with each vendor, from compliance issues to data security concerns. Leverage our extensive knowledge of the payroll vendor landscape, gained through experience working with diverse providers. When you partner with CR Payroll, our dedicated team becomes an extension of your organisation, offering personalised support, prompt issue resolution, and proactive guidance. We are committed to building long-term partnerships based on trust, reliability, and exceptional service.",,,,,,,,,0,11/01/2024 11:54,,,no,-,11/01/2024 11:54,no
2723,CLIMOTE LTD,climote.ie,,"The team in climote have developed an award winning disruptive technology that will change the way energy in a property is Controlled, Managed &amp. Monitored period. This patented product has a worldwide application and we are currently partnering with leading Energy Utilities, mobile telcos &amp. trade networks worldwide to bring this product to market. What is climote's Mission? To become the essential and preferred supplier of energy management hardware, software &amp. data services to both home owners, utilities and our trade partners. We aim to accomplish this by providing world-class intuitive products that look great and are easy to use and provide information that is relevant and useful. These products will be designed and manufactured to the highest standard by us so as to be easy to install by Electrical &amp. Plumbing Contractors. We are committed to the highest levels of professionalism, integrity and customer care in all our dealings. The climote team.",,,,,,,,,0,12/12/2023 17:28,,,no,-,12/12/2023 17:28,no
2730,IRISH ROLLFORMING LIMITED,irishrollforming.ie,,"Irish Rollforming provides Universal Cladding Solutions supplying the Agriculture, Light Industrial and Commercial sector. Welcome to Irish Rollforming an Irish owned company centrally located within Munster in Mallow, Co Cork. Our primary goal is to give value and quality to our customers. We do this by: •Honest Support from Our Experienced Team •Over 30 years Combined Onsite Experience •5 Day Manufacture and Delivery Service •Cutting to Suit Every Customer Requirement •Competitive Pricing •CE Approved, Roofing, Sheeting &amp. Purlins •Department of Agriculture Approved •ISO-9001:2015 •Grant Approved •Orders are taken by the phone In today’s economic climate Irish Rollforming is a must have service with honesty and reliability at its core. Now that you know what Irish Rollforming has to offer I am inviting you to contact us and see what we can do for you.",,,,,,,,,0,12/12/2023 17:28,,,no,-,12/12/2023 17:28,no
704,FITZGERALD KITCHENS LTD,fitzgeraldsofkells.com,,FitzGerald's of Kells are one of Ireland's leading cabinet makers and corian fabricators. The business was established in 1963 and have being crafting award winning furniture for both the Irish and International markets for nearly 60 years.,,,,,,,,,0,08/11/2023 16:59,,,no,-,08/11/2023 16:59,no
3749,HEALTH & SPORT TECHNOLOGIES LTD,metrifit.com,Sports Tech & Sporting Goods,"Health and Sport Technology Ltd are revolutionizing the sports industry by making health and wellbeing a priority in performance. Through our innovative Metrifit app and intelligent analytics, we are bringing athlete wellbeing to the forefront of training and performance. While we acknowledge the physiological aspects of training and provide tools to monitor those aspects, we also build a subjective and objective profile of the athlete that allows coaches to track the physical and mental wellbeing of their athletes helping them to reach optimum performance.",,,,,,,,Sports Tech & Sporting Goods,25,26/07/2024 16:33,,,no,-,26/07/2024 16:33,no
1890,HUHTAMAKI CUPPRINT LIMITED,cupprint.ie,,"Bat City Awards and Apparel has been owned and operated in Austin, Texas since its founding in 2005. We started the company with a vision to provide more products and services under one roof while placing a focus on customer service. Our focus includes corporate awards, screen printing, embroidery, promotional products and signage. We are fortunate to have grown every year in business and proud to be featured on the Inc 5000 fastest growing private companies in America list the past three years. This success is a direct testament to the relationships we have built with our clients and their willingness to constantly spread the word to new clients. Thank you for the opportunity to assist you and please don't hesitate to let us know of any project we can help!",,,,,,,,,0,29/11/2023 11:46,,,no,-,29/11/2023 11:46,no
1989,INTERCHEM (IRELAND) LTD,interchem.ie,,"Interchem (Ireland) Ltd. is a unique and independent marketing, sales and distribution company for pharmaceutical and biological and superpremium pet food products for the animal health market. The company was set up in June 2007 by Pat O' Callaghan and Gerard Perry after reaching agreement with Greencore Group plc to purchase the assets of Interchem Ltd., which was a formally wholly owned subsidiary of Greencore. Interchem (Ireland) Ltd. has a quality brand which has been established in Ireland since 1966. It has always had a prominent position in Irish agriculture since its formation. The company has a history of successful product introductions in all animal species. In an era when manufacturers are cutting back on direct sales forces and relying more on outside distributors with market capabilities, Interchem stands apart in the Irish market. Interchem functions as an active marketing partner, which explores new markets and develops new markets, with its principals. In 2011, the business was successfully re-located from Tougher Business Park, Naas, Co. Kildare, to a new warehouse and offices in Cookstown Industrial Estate, Dublin 24. This location is approximately 30 minutes from Dublin airport.",,,,,,,,,0,05/12/2023 10:31,,,no,-,05/12/2023 10:31,no
2497,PMD DEVICE SOLUTIONS LTD,pmd-solutions.com,"Space,Materials and Processes / Mechanisms","PMD Solutions was founded to fill the fundamental clinical need to measure patients rate of breathing, which if amiss, is a significant indicator of early deterioration. RespiraSense is a wireless, discreet, continuous respiratory rate monitor that eliminates Respiratory Rate monitoring’s subjectivity and produces this information efficiently to understand a user-friendly platform. PMD Solution’s creation of RespiraSense has revolutionised the early diagnosis and intervention of medical events, making every breath count.","Revolutionising Respiratory Outcomes by Making Every Breath CountPMD Solutions was founded by Myles Murray to void the fundamental clinical need to measure patients breathing rates, which if amiss, is a significant indicator of an adverse event. The creation of RespiraSense has revolutionised the early diagnosis and intervention of medical events, making every breath count.OUR SOLUTIONS IMPROVE PATIENT CARE AND MEDICAL OUTCOMES ACROSS THE GLOBE.",,,,myles@pmd-solutions.com,,,Materials and Processes / Mechanisms,37,12/12/2023 17:13,,,no,-,12/12/2023 17:13,no
1371,NORRIS BROS LTD,norrisbrothers.eu,,"Established in 1981, our family run business operates from a 35,000 sq. ft. purpose built fabrication facility at Englishtown, Stradbally, Co. Waterford with a capacity to fabricate in excess of 150 tonnes of steel per week.",,,,,,,,,0,23/11/2023 17:57,,,no,-,23/11/2023 17:57,no
119,Burnside,burnside.ie,"Aerospace & Aviation,Logistics & Supply,Warehousing & Logistical Solutions,Mechanical Engineering,Construction,Agriculture & Equine",We are a member of the Burnside group of companies which is one of the top hydraulic cylinder manufacturers in the world. The company is dedicated to supplying the OEM market with a broad range of Hydraulic Cylinders of the highest quality for many diverse applications.Central to the company philosophy is our strong commitment to building partnerships with our customers. This begins by working closely with our customers from initial concepts to the final Hydraulic Cylinder design for each application. Our design and development departments are staffed with engineers with many years’ experience in the field of hydraulics and supported by 3D Cad and Simulation packages.﻿Our clients are leading manufacturers &amp.; world know brand names in the fields ofWarehouse EquipmentCounterbalance Forktrucksmaterials Handling equipmentAerial Work PlatformsConstruction &amp.; Agricultural TelehandlersTruck Mounted Forklifts,"At Burnside there is a passion for our business &amp.; our customers business which translates into a unique type of dedicated service for each customer. We offer an end to end custom made Hydraulic Cylinders to all our customers through from design to Production, R&amp.D; , logistics &amp.; after market support. We have 50 years experience in the production of Hydraulic Cylinders, dealing with world renowned OEMs who are leaders in their field.",https://d3bddsqeatnr0e.cloudfront.net/brochures/Presentation1.pdf,"Tullow Industrial Estate, Tullow, Co. Carlow R93, K6C6",,,,,Agriculture & Equine,25,26/09/2023 15:51,,,no,-,26/09/2023 15:51,no
571,Mastercad Ltd,lawlersustainability.com,"Energy,Renewables & Environment,Utilities (Products/Services),Smart Energy,Energy Management Services,Electrical Engineering,Mechanical Engineering,Construction","Lawler Consulting is an award-winning, multi-disciplinary team of highly qualified Building Services Engineers, with offices in Ireland and the UK and expertise in exemplar project delivery from Europe to the Middle East. Our practice has grown over the past 40 years, to become one of the leading Building Services Consultancies in Ireland and rapidly growing in the UK. Our experience is vast, covering all construction sectors including Education, Commercial, Industrial, Residential, Healthcare, Retail, Leisure, and Public Buildings. We value our clients and are a trusted partner for them, many of whom have grown with us throughout the years. We have a strong commitment to reducing the carbon impact of the built environment and moving towards a more sustainable future.Market Serve: UK, Europe, Middle East","We offer a wide range of engineering solutions from building services design, project management, to sustainability and low carbon consultancy, ensuring our clients’ needs are met and exceeded. We believe there is no substitute for experience. The repeat business of these clients since our establishment is something we pride our operations on and are very grateful for.Working with Lawler Consulting will provide all your building services and sustainability needs within a single organisation. We have a deep innovative culture in the organisation and our experience across many sectors ensures there are few issues we haven’t faced nor overcome, in the design and operation of buildings. We enjoy working with clients and organisations who mirror our passion for energy and cost-efficient building solutions with sustainability at their core.We have provided 40+ years of engineering excellence to the Irish and UK Construction sector, in addition to vast experience in the UK and Middle East. We’ve therefore very experienced engineers with working knowledge of Irish, UK, US and Middle East/International design standards. This gives us a very adaptable engineering team capable and experienced in the delivery of a diverse range of projects globally.",,"7 Patrick St, Gardens, Kilkenny, R95 HT9T, Ireland",Daniel Ring - danielring@lawlersustainability.com,Company Contact - nicolaring@lawlersustainability.com,"Brown Thomas Arnotts (brownthomasarnottscareers.com), Dublin City Council (dublincity.ie), Dunnes Stores (dunnesstores.com), Eden Bleu Hotel (edenbleu.com), Environmental Protection Agency (epa.ie), Health Service Executive (hse.ie), Intel (intel.com), Irish Life (irishlife.ie), Lidl International (lidl.de), Pfizer (pfizer.com), SuperValu Ireland (supervalu.ie), Sustainable Energy Authority of Ireland (seai.ie), Tommy Hilfiger (tommy.com)",,Renewables & Environment,75,02/11/2023 07:41,29/02/2024 00:51,,no,-,02/11/2023 07:41,no
2075,SHANNON INTERNATIONAL DEVELOPMENT CONSULTANTS LTD,sidc.ie,,"Shannon International Development Consultants (SIDC) established in 2003, harnesses the unique economic development experience and expertise of Ireland's Shannon Free Zone and the Shannon Region and makes it available as a consultancy service to the international development community. Consultancy Services include: - Free Zone and Special Economic Zone Development - Industrial and Business Park Development - Foreign Direct Investment / Investment Promotion - SME Development - Regional, Rural and Tourism Development and Planning",,,,,,,,,0,05/12/2023 10:38,,,no,-,05/12/2023 10:38,no
2447,PRODUCTION EQUIPMENT LTD,productionequipment.ie,,"Production Equipment Europe is an Irish owned company specialising in industrial supplies, PPE, consumables, equipment and provision of technical services to the electronics, automotive, medical device, pharmaceutical and semi-conductor manufacturing industries. Established in 1983, Production Equipment Europe now operates in over 12 countries worldwide providing a wide range of product and service solutions to its many valued customers.",,,,,,,,,0,12/12/2023 16:02,,,no,-,12/12/2023 16:02,no
3627,John Sisk & Son,johnsiskandson.com,Construction,"John Sisk &amp.; Son Ltd (“Sisk”) is an innovative, international, engineering and construction company. It is a progressive business with long term vision, operating since 1859. Sisk is Ireland’s No1 provider of construction services with extensive operations across Ireland, the United Kingdom and mainland Europe.",,,,,,,,Construction,25,13/06/2024 14:25,,,no,-,13/06/2024 14:25,no
2257,Element Post VFX,element.ie,"Digital Entertainment,Animation,Motion Pictures & Film,Media Production,VFX / Post Production","Element Post/VFX was established in 1998 by Bernard Rogan, Chriona O'Sullivan, Diarmuid Kelly and Kathleen O'Callaghan. Element Post/VFX is a full-service film and high-end TV drama post-production and VFX facility. Our comprehensive In-house services include complete picture and sound post-production, colour grading, and VFX for cinema, TV film/drama, and feature documentaries. We service clients in the Irish, European, UK and USA markets.","Our highly experienced and award-winning creative team are passionate about the craft and committed to delivering to the highest standard. Supported by a dedicated team of producers and IT engineers, we ensure that your content meets the precise specifications demanded by international studios, streamers, and broadcasters. ",,"16 Fitzwilliam Square E, Dublin 2, D02 H271, Ireland","Bernard Rogan - bernard@element.ie, John Sullivan - john@element.ie",,"CBS (cbs.com), Channel 4 (channel4.com), NBCUniversal (nbcuniversal.com), Netflix (netflix.com), Paramount (paramount.com)","Animation,Entertainment,Facilities Services,Media,Telecommunications,Film & TV,Advertising,Audiovisual,Film Industry,Videogames",Digital Entertainment,87,05/12/2023 10:54,03/09/2024 12:31,,no,-,05/12/2023 10:54,no
760,CREDIT CARD SYSTEMS IRELAND LTD,ccsireland.ie,,"CCS Ireland is a leading provider of plastic cards and end-to-end services including verification, secure card issuance, and virtual identity solutions for government, financial institutions, and private enterprises.",,,,,,,,,0,08/11/2023 17:12,,,no,-,08/11/2023 17:12,no
903,ANGLO PRINTERS LTD,angloprinters.ie,,"Anglo Printers is a family-run print provider based in Drogheda, Co. Louth, Ireland. They offer a range of printing services, including graphic design, litho printing, digital printing, direct mail personalization, in-house finishing, and delivery.",,,,,,,,,0,08/11/2023 17:58,,,no,-,08/11/2023 17:58,no
3995,Celtic Tweed,celtictweed.ie,"Apparel & Fashion,Consumer Products","Celtic Tweed is a unique and authentic Irish family business whose directors have over a combined 60 years’ experience in tailoring and design. They make high-quality garments, reimagining traditional menswear for today and bringing inspiring detail an...",,,,,,,,Consumer Products,12,23/09/2024 14:40,,,no,-,23/09/2024 14:40,no
2566,HIGH PRESSURE PROCESS TOLLING LTD,hpptolling.com,Food & Beverage,"HPP Tolling was established in 2012 after some in-depth market research and advice from our partners/advisors which include Hiperbaric, Enterprise Ireland, University College Cork, Teagasc and AFBI. HPP Tolling opened for business in FoodCentral, St. Margarets, Co. Dublin in November 2013 after receiving approval to do so from DAFM. Since our opening we have continued to develop our partnerships with our advisors, customers and established a process that was firstly accredited by IOFGA for our Organic customers. We have also received BRC Approval which has simplified business transactions both for our customers and ourselves. Since 2012 we have built up a wealth of knowledge and expertise in this cutting edge technology. As we offer the service of HPP to all food and beverage producers. an expensive technology that the majority of producers could not justify due to the significant capital investment required for their own in-house use only. our service offers the best of both worlds as we offer access to the technology and expertise without the need for any capital investment. We place a lot of value on our independence as well as our ability to ensure complete confidentiality to both our current and future customers. HPP products are now making a real impact on the Irish market and ensuring that Irish producers are not left lagging behind our European colleagues. The availability of the technology has also opened up export markets for our customers which they could not previously take advantage of, as HPP gives our customers the additional shelf life and food safety they require in order to take advantage of the export markets. HPP Tolling in conjunction with our manufacturing partners can also source/produce a range of HPP products and have them delivered anywhere in Europe and beyond .",Over 10 years experience working with High Pressure Processing Technology .Experienced management team who have worked in the food industry for over 30 years .In conjunction with our manufacturing partners we can source and produce a range of HPP products and have them delivered anywhere in Europe and beyond .,,"FoodCentral ,St Margaret’s ,County Dublin",Liam Murphy - hpptolling@gmail.com,,,Food & Beverages,Food & Beverage,37,12/12/2023 17:17,30/08/2024 07:25,English,no,-,12/12/2023 17:17,no
2851,WALL STEEL LIMITED,wallsteel.ie,,"Wall Steel is a family run business that was established in 1986 . Wall Steel is one of the largest structural steel manufacturing companies in Ireland and the UK with a state of the art fabrication facility in New Ross and also an office in the UK. We have been operating for almost 30 years. We currently operate throughout Ireland and the UK and we have expanded our customer base to include projects in Norway and Spain. Current production capacity is 400 tonnes of structural steel per week. Our location allows us to be truly nation-wide. Our 170,000 Sq foot automated facility has been developed to ensure the steel fabrication process runs as efficiently and effectively as possible. The plant is equipped with Peddinghaus machinery, the most high tech machinery in the steel fabrication business. We are capable of detailing, manufacturing and erecting a wide range of steelwork for projects, our dedicated design and detailing team operate using Strucad and XSteel technology. The design team work in partnership with our clients and enable us to offer a complete range of structural steel and engineering solutions products to meet customer’s exact requirements. We constantly strive to meet client expectations on project program and on budget without affecting quality, health &amp. safety or the environment.",,,,,,,,,0,11/01/2024 08:58,,,no,-,11/01/2024 08:58,no
2427,E W TECHNOLOGIES LTD,ewtechnologies.ie,,"Since 2002, EWT have provided Water Softeners, Water Filters and Water Coolers all over the Ireland, Goog water softeners in Ireland",,,,,,,,,0,12/12/2023 16:01,,,no,-,12/12/2023 16:01,no
414,THINSCALE TECHNOLOGY LIMITED,thinscale.com,"Cybersecurity,IT Services","ThinScale is a software company that provides solutions for secure remote work and endpoint management, with a focus on the contact center and BPO industries.","With the rapid rise of work at home that has come about from the global COVID-19 pandemic has also come a significant increase in security attacks on corporate systems. Inevitably one of the greatest points of vulnerability is the widening potential attack vector of the endpoint in the home. At the same time BPOs and enterprise contact centres also need to rapidly recruit agents in order to meet seasonal peak loads and other spikes in demand. The traditional method of solving this is to ship a corporate endpoint which is fully prepared for an agent to use. However this introduces significant cost and complexity logistical complexity when everyone is working at home, this is also particularly an issue in an era of lengthening product leadtimes. The only other methodology is to use USB keys to provide an alternative dual boot, these also introduce significant logistical technical update and other on boarding challenges. ThinScale is the only software-based solution to achieve the security lockdown required with the ease of management and control and operational efficiency that these customers require and is the reason this has become the global industry standard.",,,,,,,Cybersecurity,25,28/09/2023 15:34,,,no,-,28/09/2023 15:34,no
2329,BLUETECHTRACKER LIMITED,bluetechresearch.com,,"If you are in the water market, you need more than data. You need actionable intelligence. BlueTech Research, founded in 2011, is the premier source of actionable water market intelligence for strategic business decisions on innovative technologies, companies and opportunities. For BlueTech Research Advisory Service subscribers, we map, analyze and benchmark the water technology innovation landscape, market drivers, disruptive technologies, company strategies, and the regulatory environment so they can intelligently navigate the shifting and dynamic global water technology market. Our Custom Research services allow clients to define the scope of their needs. Built around your business objectives, BlueTech custom research helps you to develop market-driven strategies, reduce risk, plan investments and stay competitive. BlueTech® Research | www.bluetechresearch.com | Leading Authority on Innovative Technologies in the Water Market",,,,,,,,,0,05/12/2023 11:00,,,no,-,05/12/2023 11:00,no
1902,ABM CONSTRUCTION,abmeurope.com,,"ABM Europe is a well established and successful Construction and Civil Engineering Company, present in Ireland, UK, Czech Republic, Poland, Slovakia, Romania, Bulgaria and the Baltic region. The Company consists of five operational divisions, ABM Construction, ABM Design &amp. Build, ABM Precast Solutions, ABM Bridge Systems and ABM Mosty. ABM Bridge System's bridge building technique offers a simple, fast method of construction for a wide range of applications where the earth/soil interactive design utlises precast concrete to it's best effect. ABM Precast Solutions specialise in bespoke precast concrete products for the civil engineering sector in the UK and has a reputation for designing, manufacturing and delivering critical components to nation's largest civil engineering projects. ABM has a reputation for devising innovative solutions to complex road and rail transport infrastructure problems, exceeding client expectations and presenting significant savings over conventional bridge building techniques. Project portfolio includes the following: - tunnel portals. - railway over-bridges. - road over-bridges. - rail under-bridges. - river crossings. - motorway under-bridges. - attenuation tanks. - tidal structures.",,,,,,,,,0,29/11/2023 11:47,,,no,-,29/11/2023 11:47,no
1437,DAIRYGLEN PRODUCTS LTD,dairyglen.ie,,"Dairyglen Products Ltd, established in 1991 is a family-owned company specialising in ice cream solutions as Ireland's leading ice-cream supplier and founders of the number one, Irish soft-serve brand, Smooch. With headquarters in Bray and Cork, Dairyglen has an extensive product portfolio to cater for all requirements relevant to the soft serve ice cream industry.",,,,,,,,,0,23/11/2023 18:02,,,no,-,23/11/2023 18:02,no
2854,ARK ENERGY CONSULTING LIMITED,ark-energy.eu,,"Ark Energy is a technology consultancy boutique with expertise in cloud development and the energy sector. We specialize in providing customized solutions for energy trading and risk management, utilizing our vertical knowledge and proprietary models. ...",,,,,,,,,0,11/01/2024 08:58,,,no,-,11/01/2024 08:58,no
252,TAOGLAS LIMITED,taoglas.com,"Aerospace & Aviation,Software - A&A,Space,Space Applications (Navigation),Hardware","Taoglas provides advanced antennas and next-generation IoT solutions from our world-class design and engineering facilities across the globe.Taoglas is a trusted provider of antennas, advanced IoT components, and custom IoT design services that helps customers navigate complex RF and wireless systems and brings connectivity solutions to market on time, the first time. Since its foundation in 2004, the company has grown from its heritage in antennas to having engineering resources, state-of-the-art test chambers, and pre-certification centers around the world. Their global team works obsessively to deliver an uninterrupted supply chain for rapid local delivery and seamless support internationally. Taoglas' commitment to continuous innovation, proactive customer service, and trusted quality delivers long-term peace of mind to customers and colleagues, creating time and space to work together to advance global connectivity.",,,,"Adrian Burns - aburns@taoglas.com, Frank Lennon - flennon@txwireless.com",,,,Space Applications (Navigation),50,27/09/2023 06:23,28/06/2024 11:50,,no,-,27/09/2023 06:23,no
3950,Atlantic Towage,atlantictowage.com,"Energy,Offshore Wind","Atlantic Towage is a marine contractor in Ireland that specializes in marine towage, salvage, and wreck removal. They provide multidisciplinary services to a wide range of marine sectors in the South and West coast of Ireland.",,,,,,,,Offshore Wind,12,15/09/2024 13:56,,,no,-,15/09/2024 13:56,no
1014,RVR ENERGY TECHNOLOGY LTD,rvr.ie,,"RVR Energy Technology is a leading manufacturer and supplier of heating and ventilation products to heating installers. Their products include packaged plant, gas fired boilers, heat pumps, heat interface units, water heaters, solar heating, wood pelle...",,,,,,,,,0,08/11/2023 18:07,,,no,-,08/11/2023 18:07,no
